Reg Number,Name,Year,Branch,CGPA
20BME2811,Aditya Das,4,Mechanical Engineering,9.99
22BCE8857,Krishna Reddy,2,Computer Engineering,9.54
23BCH8216,Krishna Nair,1,Chemical Engineering,7.23
22BEE2204,Ananya Reddy,2,Electrical Engineering,9.7
23BIT2759,Vivaan Singh,1,Information Technology,8.36
22BCH6904,Pooja Patel,2,Chemical Engineering,8.14
22BIT1052,Pooja Singh,2,Information Technology,9.06
20BME2761,Aditya Nair,4,Mechanical Engineering,6.09
20BEE6971,Neha Gupta,4,Electrical Engineering,6.5
20BEE8951,Neha Gupta,4,Electrical Engineering,7.67
23BEE7614,Sneha Roy,1,Electrical Engineering,7.43
20BIT0896,Aditya Nair,4,Information Technology,6.55
22BCE3474,Vivaan Sharma,2,Computer Engineering,6.79
22BCH5343,Aditya Iyer,2,Chemical Engineering,9.08
22BIT0882,Ishita Gupta,2,Information Technology,9.28
23BIT2040,Sneha Singh,1,Information Technology,8.41
20BCE1687,Krishna Roy,4,Computer Engineering,7.03
22BEE0805,Sneha Roy,2,Electrical Engineering,6.15
21BEE4199,Krishna Das,3,Electrical Engineering,8.83
23BEE9493,Vivaan Sharma,1,Electrical Engineering,6.64
21BME6466,Ananya Verma,3,Mechanical Engineering,8.43
23BEE9234,Aarav Das,1,Electrical Engineering,8.04
21BCH2276,Krishna Sharma,3,Chemical Engineering,8.39
22BME4327,Pooja Patel,2,Mechanical Engineering,9.64
23BIT1694,Neha Roy,1,Information Technology,8.3
23BCH3875,Arjun Verma,1,Chemical Engineering,9.2
21BCE1083,Ananya Reddy,3,Computer Engineering,7.56
21BIT7845,Sneha Iyer,3,Information Technology,6.96
21BCE9730,Aarav Verma,3,Computer Engineering,6.03
21BME0259,Ananya Gupta,3,Mechanical Engineering,7.18
20BEE3093,Arjun Das,4,Electrical Engineering,8.71
23BME1698,Vivaan Roy,1,Mechanical Engineering,6.48
23BEE6996,Aarav Sharma,1,Electrical Engineering,7.29
21BCH1687,Aditya Das,3,Chemical Engineering,8.82
22BME3462,Vivaan Das,2,Mechanical Engineering,9.94
22BCE9588,Ananya Patel,2,Computer Engineering,6.54
20BME0601,Neha Patel,4,Mechanical Engineering,7.65
22BME2355,Neha Sharma,2,Mechanical Engineering,6.84
22BME7636,Arjun Gupta,2,Mechanical Engineering,6.68
22BME0120,Arjun Roy,2,Mechanical Engineering,7.48
22BCH0108,Aditya Patel,2,Chemical Engineering,7.16
20BCE6504,Vivaan Singh,4,Computer Engineering,8.38
21BME5094,Aditya Sharma,3,Mechanical Engineering,8.76
22BCE4634,Ishita Roy,2,Computer Engineering,8.81
20BCE9572,Ananya Roy,4,Computer Engineering,7.82
20BIT8279,Sneha Singh,4,Information Technology,9.0
21BME8277,Arjun Singh,3,Mechanical Engineering,6.52
21BCH3784,Aditya Iyer,3,Chemical Engineering,7.04
21BIT7694,Neha Verma,3,Information Technology,9.51
21BCH5904,Pooja Iyer,3,Chemical Engineering,6.46
23BEE7495,Pooja Sharma,1,Electrical Engineering,8.21
23BEE9100,Aditya Nair,1,Electrical Engineering,8.36
23BME3821,Ishita Iyer,1,Mechanical Engineering,7.15
23BCE6065,Neha Reddy,1,Computer Engineering,9.1
22BEE3799,Vivaan Singh,2,Electrical Engineering,9.83
21BCH0578,Pooja Reddy,3,Chemical Engineering,7.6
21BIT9054,Ananya Sharma,3,Information Technology,9.5
21BIT6659,Arjun Das,3,Information Technology,6.02
23BCE6473,Pooja Nair,1,Computer Engineering,9.16
20BEE1995,Aditya Das,4,Electrical Engineering,7.12
21BCH2556,Ananya Singh,3,Chemical Engineering,8.32
23BIT5490,Neha Patel,1,Information Technology,9.43
22BIT4857,Vivaan Gupta,2,Information Technology,7.71
22BME7792,Aarav Sharma,2,Mechanical Engineering,7.7
23BCE6984,Sneha Nair,1,Computer Engineering,7.12
23BCH4890,Vivaan Sharma,1,Chemical Engineering,8.01
